State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Odisha,BARGARH,2004,Winter,Potato,314.0,2480.6,7.8999999999999995
Odisha,BARGARH,2004,Winter,Rapeseed &Mustard,460.0,121.9,0.265
Odisha,BARGARH,2004,Winter,Rice,178000.0,309000.0,1.7359550561797752
Odisha,BARGARH,2004,Winter,Sesamum,1008.0,158.3,0.15704365079365082
Odisha,BARGARH,2004,Winter,Sugarcane,1318.0,96074.3,72.89400606980273
Odisha,BARGARH,2005,Autumn,Groundnut,17956.0,16070.6,0.8949988861661841
Odisha,BARGARH,2005,Autumn,Maize,74.0,94.4,1.2756756756756757
Odisha,BARGARH,2005,Autumn,Moong(Green Gram),10761.0,2948.5,0.27399869900566864
Odisha,BARGARH,2005,Autumn,Rice,62000.0,61000.0,0.9838709677419355
Odisha,BARGARH,2005,Autumn,Sesamum,277.0,46.5,0.16787003610108303
Odisha,BARGARH,2005,Autumn,Urad,6896.0,1889.5,0.2739994199535963
Odisha,BARGARH,2005,Summer,Groundnut,2813.0,3884.8,1.381016708140775
Odisha,BARGARH,2005,Summer,Moong(Green Gram),1581.0,567.6,0.3590132827324478
Odisha,BARGARH,2005,Summer,Rice,59000.0,159000.0,2.694915254237288
Odisha,BARGARH,2005,Summer,Sesamum,145.0,45.8,0.3158620689655172
Odisha,BARGARH,2005,Summer,Urad,1.0,0.4,0.4
Odisha,BARGARH,2005,Summer,Wheat,262.0,351.1,1.3400763358778627
Odisha,BARGARH,2005,Winter,Horse-gram,1049.0,375.5,0.35795996186844614
Odisha,BARGARH,2005,Winter,Maize,3.0,4.1,1.3666666666666665
Odisha,BARGARH,2005,Winter,Moong(Green Gram),73.0,16.6,0.2273972602739726
Odisha,BARGARH,2005,Winter,Potato,316.0,2565.3,8.118037974683546
Odisha,BARGARH,2005,Winter,Ragi,1.0,0.1,0.1
Odisha,BARGARH,2005,Winter,Rapeseed &Mustard,833.0,252.4,0.3030012004801921
Odisha,BARGARH,2005,Winter,Rice,169000.0,330000.0,1.952662721893491
Odisha,BARGARH,2005,Winter,Sesamum,712.0,116.8,0.16404494382022472
Odisha,BARGARH,2005,Winter,Sugarcane,500.0,33831.5,67.663
Odisha,BARGARH,2005,Winter,Urad,1.0,0.4,0.4
Odisha,BARGARH,2006,Autumn,Groundnut,17311.0,15389.5,0.8890012131014962
Odisha,BARGARH,2006,Autumn,Maize,51.0,57.0,1.1176470588235294
Odisha,BARGARH,2006,Autumn,Moong(Green Gram),12459.0,3264.3,0.26200337105706717
Odisha,BARGARH,2006,Autumn,Rice,63000.0,68000.0,1.0793650793650793
Odisha,BARGARH,2006,Autumn,Sesamum,2.0,0.7,0.35
Odisha,BARGARH,2006,Autumn,Urad,6572.0,1715.3,0.26100121728545345
Odisha,BARGARH,2006,Summer,Groundnut,1582.0,2080.3,1.3149810366624528
Odisha,BARGARH,2006,Summer,Maize,1.0,1.8,1.8
Odisha,BARGARH,2006,Summer,Moong(Green Gram),1392.0,487.2,0.35
Odisha,BARGARH,2006,Summer,Rice,58000.0,173000.0,2.9827586206896552
Odisha,BARGARH,2006,Summer,Sesamum,109.0,34.9,0.3201834862385321
Odisha,BARGARH,2006,Summer,Urad,6.0,1.5,0.25
Odisha,BARGARH,2006,Summer,Wheat,227.0,316.2,1.3929515418502203
Odisha,BARGARH,2006,Winter,Horse-gram,1094.0,333.7,0.30502742230347346
Odisha,BARGARH,2006,Winter,Moong(Green Gram),97.0,30.6,0.3154639175257732
